	date	id	type	hash	latitude	longitude
169085	2015-05-12 03:02:06	4906	bus	86	50.506153000000005	50.969636
169086	2015-05-12 03:07:26	4906	bus	86	50.504699	50.940168
169087	2015-05-12 03:08:06	4906	bus	86	50.505928000000004	50.935758
169088	2015-05-12 03:09:26	4906	bus	86	50.510467	50.935939000000005
169089	2015-05-12 03:10:26	4906	bus	86	50.514221	50.936313
169090	2015-05-12 03:11:26	4906	bus	86	50.516441	50.93723
169091	2015-05-12 03:12:46	4906	bus	86	50.521442	50.937759
169092	2015-05-12 03:13:46	4906	bus	86	50.524276	50.940146999999996
169093	2015-05-12 03:14:46	4906	bus	86	50.52412	50.947074
169094	2015-05-12 03:17:26	4906	bus	86	50.526953999999996	50.955535
169095	2015-05-12 03:18:26	4906	bus	86	50.527637	50.955615
169096	2015-05-12 03:20:27	4906	bus	86	50.530746	50.96033
169097	2015-05-12 03:21:27	4906	bus	86	50.530704	50.966054
169098	2015-05-12 03:22:27	4906	bus	86	50.530456	50.973471999999994
169099	2015-05-12 03:23:27	4906	bus	86	50.530281	50.977002
169100	2015-05-12 03:26:47	4906	bus	86	50.529239000000004	50.994079
169101	2015-05-12 03:28:07	4906	bus	86	50.531913	51.002992
169102	2015-05-12 03:29:07	4906	bus	86	50.532061999999996	51.007589
169103	2015-05-12 03:30:07	4906	bus	86	50.531849	51.012971
169104	2015-05-12 03:32:07	4906	bus	86	50.531859999999995	51.020778
169105	2015-05-12 03:33:07	4906	bus	86	50.53183	51.026731
169106	2015-05-12 03:35:07	4906	bus	86	50.53181	51.037212
169107	2015-05-12 03:37:27	4906	bus	86	50.532444	51.049188
169108	2015-05-12 03:41:27	4906	bus	86	50.534298	51.047607
169109	2015-05-12 03:42:28	4906	bus	86	50.531954999999996	51.046245
169110	2015-05-12 03:43:28	4906	bus	86	50.531925	51.045716999999996
169111	2015-05-12 03:44:28	4906	bus	86	50.531933	51.041996999999995
169112	2015-05-12 03:45:48	4906	bus	86	50.531940000000006	51.036891
169113	2015-05-12 03:47:48	4906	bus	86	50.531959	51.02617
169114	2015-05-12 03:49:08	4906	bus	86	50.531971	51.019382
169115	2015-05-12 03:51:08	4906	bus	86	50.53202	51.013652
169116	2015-05-12 03:53:08	4906	bus	86	50.532009	51.00242
169117	2015-05-12 03:55:09	4906	bus	86	50.529045	50.997068
169118	2015-05-12 03:56:28	4906	bus	86	50.527324	50.994724
169119	2015-05-12 03:58:48	4906	bus	86	50.526886	50.975061
169120	2015-05-12 04:00:09	4906	bus	86	50.530357	50.973943
169121	2015-05-12 04:01:09	4906	bus	86	50.530445	50.969631
169122	2015-05-12 04:03:09	4906	bus	86	50.530666	50.955978
169123	2015-05-12 04:04:09	4906	bus	86	50.530342	50.955498999999996
169124	2015-05-12 04:05:09	4906	bus	86	50.527862	50.955354
169125	2015-05-12 04:07:09	4906	bus	86	50.525055	50.955331
169126	2015-05-12 04:08:09	4906	bus	86	50.522514	50.953262
169127	2015-05-12 04:09:09	4906	bus	86	50.524082	50.946458
169128	2015-05-12 04:10:09	4906	bus	86	50.524165999999994	50.940453999999995
169129	2015-05-12 04:11:09	4906	bus	86	50.521015000000006	50.93803
169130	2015-05-12 04:12:09	4906	bus	86	50.518524	50.937793
169131	2015-05-12 04:14:09	4906	bus	86	50.514122	50.936425
169132	2015-05-12 04:16:29	4906	bus	86	50.507969	50.936384000000004
169133	2015-05-12 04:17:29	4906	bus	86	50.504764	50.93675
169134	2015-05-12 04:18:29	4906	bus	86	50.504490000000004	50.943912
169135	2015-05-12 04:20:29	4906	bus	86	50.504001	50.95881
169136	2015-05-12 04:21:30	4906	bus	86	50.503948	50.959651
169137	2015-05-12 04:22:30	4906	bus	86	50.503921000000005	50.960440999999996
169138	2015-05-12 04:24:30	4906	bus	86	50.505634	50.970115
169139	2015-05-12 04:32:10	4906	bus	86	50.505977	50.968393
169140	2015-05-12 04:35:10	4906	bus	86	50.5042	50.954817999999996
169141	2015-05-12 04:37:30	4906	bus	86	50.504898	50.936607
169142	2015-05-12 04:40:30	4906	bus	86	50.51551	50.936487
169143	2015-05-12 04:41:30	4906	bus	86	50.520927	50.937743
169144	2015-05-12 04:42:31	4906	bus	86	50.524048	50.938039
